space,dataset_code,n_keys,n_features,n_diagnosis_subsample,mean_confidence,median_confidence,pct_confidence_above_0.6,moa_auroc_neighborhood,moa_auroc_annotation,moa_ks_d,atc_auroc_neighborhood,atc_auroc_annotation,atc_ks_d,pct_flagged_outliers,mean_anomaly_score,std_anomaly_score
DeepCoverMoA,D6.002,1230708,128,10000,0.1644867430040814,0.16015347205210437,0.04,0.7605367556250001,0.7292152427435011,0.34353479723560304,0.7356428478125,0.6993685882484741,0.3007321845389985,10.0,-0.026235309768917744,0.01954645872108645
All Shared Proteins,D6.007,1230715,128,10000,0.22278829085614843,0.2226146853899561,0.08,0.7470905503124999,0.741137841500094,0.3608410720342453,0.7260614165625,0.7061870585230716,0.31219582640654847,10.0,-0.020084327364255153,0.015288286511361411
